data_source,match_category,match_confidence,ein,hospital_name,payer_canonical,code_clean,code_type,billing_class,hpt_rate,tic_rate,rate_delta_pct,abs_delta_pct,n_hpt_source_rows,n_tic_source_rows,hpt_plan_names,hpt_descriptions,hpt_settings,hpt_methodologies,hpt_gross_charges,tic_network_names,tic_npi_lists,tic_modifiers,tic_pos,tic_negotiation_types,tic_arrangements,cms_baseline_rate,cms_baseline_schedule
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MVP,43239,CPT,professional,162.56,,,,1.0,,['Medicaid and CHP'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,99283,CPT,institutional,225.0,,,,1.0,,['Medicare Enrollees'],['HC EMERGENCY DEPT VISIT LVL 3'],['outpatient'],['other'],[3744.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,43239,CPT,professional,345.95,,,,1.0,,['Medicare Advantage'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,867.77,,,,1.0,,['HARP'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Hamaspik,99283,CPT,institutional,352.74,,,,1.0,,['Medicare Adv'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,WellCare,43239,CPT,professional,185.56,,,,1.0,,['Medicare'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,424.59,,,,1.0,,['Exchange Products'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,43239,CPT,institutional,2657.0,,,,1.0,,['Blue Access'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['case rate'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,79.79,,,,1.0,,['Essential Plan 3 4'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,157.52,,,,1.0,,['HIV SNP'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,43239,CPT,professional,153.45,,,,1.0,,['BCBS Medicare Advantage'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Elderplan,99283,CPT,professional,86.58,,,,1.0,,['Medicare'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,872,MS-DRG,institutional,13570.0,,,,1.0,,['BCBS Medicare Advantage'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,professional,157.52,,,,1.0,,['Medicaid'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,43239,CPT,institutional,1037.65,,,,1.0,,['Managed Care Products'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,VNSNY,99283,CPT,professional,91.76,,,,1.0,,['Choice Medicaid'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,99283,CPT,professional,106.12,,,,1.0,,['Select Care'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Hamaspik,872,MS-DRG,institutional,14927.0,,,,1.0,,['Medicare Adv'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,1037.65,,,,1.0,,['Default Duals'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,326.61,,,,1.0,,['Default Duals'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Oscar,99283,CPT,institutional,326.61,,,,1.0,,['Medicare'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Nat,99283,CPT,institutional,1797.0,,,,1.0,,['Assoc Letter Carriers'],['HC EMERGENCY DEPT VISIT LVL 3'],['outpatient'],['other'],[3744.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,CentersPlan,872,MS-DRG,institutional,14927.0,,,,1.0,,['Medicare Advan I SNP'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,95.75,,,,1.0,,['Essential Plan 3 4'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,43239,CPT,professional,691.51,,,,1.0,,['HIP HMO'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,VillageCareMAX,99283,CPT,institutional,326.61,,,,1.0,,['VillageCareMAX'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Senior,43239,CPT,professional,527.57,,,,1.0,,['Whole Health Medicare'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,872,MS-DRG,institutional,16691.1,,,,1.0,,['Select Care'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,157.52,,,,1.0,,['Child Health Plus'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Nippon,99283,CPT,institutional,421.18,,,,1.0,,['Life Insurance'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,VNSNY,43239,CPT,institutional,997.94,,,,1.0,,['Choice Medicaid'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,326.61,,,,1.0,,['Medicaid Advantag Plus'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MVP,43239,CPT,professional,841.81,,,,1.0,,['Commercial'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,43239,CPT,professional,345.95,,,,1.0,,['Medicare Advantage'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MVP,43239,CPT,institutional,867.77,,,,1.0,,['Essential 1 2'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Wellcare,43239,CPT,professional,196.9,,,,1.0,,['Essential Plan 1 2'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,SEIU1199,43239,CPT,professional,174.0,,,,1.0,,['SEIU1199'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,95.75,,,,1.0,,['HIV SNP'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,99283,CPT,institutional,326.61,,,,1.0,,['MedicareNonEnrollees'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,institutional,867.77,,,,1.0,,['Medicaid'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,institutional,1037.65,,,,1.0,,['Medicare Advantage'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,99283,CPT,institutional,326.61,,,,1.0,,['Essential Plan 3 4'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MVP,43239,CPT,institutional,867.77,,,,1.0,,['Essential 3 4'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_commercial_plan,,131740114,Montefiore Medical Center,unitedhealthcare,99283,CPT,professional,79.74,,,,1.0,,['Medicare Advantage'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,43239,CPT,institutional,1008.39,,,,1.0,,['Exchange Risk'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,157.52,,,,1.0,,['Essential Plan 3 4'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,872,MS-DRG,institutional,4296.35,,,,1.0,,['WPH Employees'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Centerlight,43239,CPT,institutional,1063.59,,,,1.0,,['Managed Care'],['HC EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['other'],[1674.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Oscar,43239,CPT,professional,287.72,,,,1.0,,['Commerical'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,99283,CPT,professional,293.38,,,,1.0,,['Blue Access'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,43239,CPT,institutional,1008.39,,,,1.0,,['Exchange Non-Risk'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,99283,CPT,institutional,391.93,,,,1.0,,['Essential Plan 1 2'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Nippon,43239,CPT,institutional,14836.0,,,,1.0,,['Life Insurance'],['UPPER GI ENDOSCOPY BIOPSY'],['outpatient'],['case rate'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,872,MS-DRG,institutional,5560.43,,,,1.0,,['Exchange'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Northwell,99283,CPT,institutional,1009.22,,,,1.0,,['Northwell'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Partners,99283,CPT,institutional,83.78,,,,1.0,,['Health Plan Medicaid'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Partners,99283,CPT,institutional,83.78,,,,1.0,,['Health Plan Medicaid'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Oscar,43239,CPT,institutional,3213.0,,,,1.0,,['Commerical'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['per diem'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,872,MS-DRG,institutional,17641.0,,,,1.0,,['Exchange Products'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,872,MS-DRG,institutional,13570.0,,,,1.0,,['Medicaid Advantag Plus'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,43239,CPT,professional,157.52,,,,1.0,,['BCBS Healthplus Medicaid'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Humana,99283,CPT,institutional,359.27,,,,1.0,,['Humana'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Molina,43239,CPT,professional,180.22,,,,1.0,,['HC Aff Medicaid'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,institutional,867.77,,,,1.0,,['HARP'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Centerlight,99283,CPT,professional,84.64,,,,1.0,,['Managed Care'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Emblem,99283,CPT,institutional,326.61,,,,1.0,,['Managed Care Products'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_commercial_plan,,131740114,Montefiore Medical Center,aetna,99283,CPT,professional,79.79,,,,1.0,,['Medicare'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,79.79,,,,1.0,,['HIV SNP'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Multiplan,43239,CPT,professional,460.5,,,,1.0,,['Multiplan'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,99283,CPT,institutional,79.79,,,,1.0,,['Medicaid'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['other'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,43239,CPT,professional,184.8,,,,1.0,,['Essential Plan 1 2'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Agewell,99283,CPT,institutional,342.94,,,,1.0,,['Agewell'],['EMERGENCY DEPT VISIT LOW MDM'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Magnacare,99283,CPT,professional,108.23,,,,1.0,,['Standard'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,CentersPlan,43239,CPT,professional,179.54,,,,1.0,,['Medicare Advan I SNP'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,99283,CPT,professional,72.25,,,,1.0,,['Exchange Risk'],['PR EMERGENCY DEPARTMENT VISIT LOW MDM'],['both'],['fee schedule'],[385.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Molina,43239,CPT,professional,278.46,,,,1.0,,['HC Aff EP 1 2'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,professional,153.45,,,,1.0,,['Medicaid'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Centerlight,43239,CPT,professional,167.1,,,,1.0,,['Managed Care'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,institutional,867.77,,,,1.0,,['Essential Plan 3 4'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Empire,43239,CPT,professional,157.52,,,,1.0,,['BCBS Healthplus Network Individual'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[3925.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,MetroPlus,43239,CPT,institutional,189.02,,,,1.0,,['Medicaid'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Nat,872,MS-DRG,institutional,44909.82,,,,1.0,,['Assoc Letter Carriers'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['case rate'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Hamaspik,43239,CPT,institutional,1120.66,,,,1.0,,['Medicare Adv'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Senior,43239,CPT,professional,527.57,,,,1.0,,['Whole Health Medicare'],['PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE'],['both'],['fee schedule'],[1790.0],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,HealthFirst,872,MS-DRG,institutional,5699.4,,,,1.0,,['Medicare Enrollees'],['SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC'],['inpatient'],['fee schedule'],[],,,,,,,,
hpt_only,excluded_non_big3_payer,,131740114,Montefiore Medical Center,Fidelis,43239,CPT,institutional,1041.32,,,,1.0,,['Essential Plan 1 2'],['EGD BIOPSY SINGLE/MULTIPLE'],['outpatient'],['fee schedule'],[],,,,,,,,
